"Guid","SBQQ__Field__c","SBQQ__Formula__c","SBQQ__Order__c","SBQQ__Rule__c","SBQQ__SourceLookupField__c","SBQQ__SourceVariable__c","SBQQ__TargetObject__c","SBQQ__ValueField__c","SBQQ__Value__c"
00f51acf-7f8c-4a8e-8a83-267381cbf3b5,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",2.0,a2ac9be9-0ef4-4d74-bc44-b796cfe62ceb,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
04413d8b-ff61-40dc-9065-894bfcf78c4d,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",1.0,a2ac9be9-0ef4-4d74-bc44-b796cfe62ceb,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
087284f2-5aea-4643-8f05-94ec5dae06d7,Billing_Approval_Level__c,"IF((TEXT(SBQQ__BillingFrequency__c)  <>  TEXT(SBQQ__Product__r.SBQQ__BillingFrequency__c)) ||
(TEXT(SBQQ__BillingType__c) <> TEXT(SBQQ__Product__r.SBQQ__BillingType__c)), 1, 0)",1.0,5cf242e6-c493-4201-b9a4-28d2c404baca,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
0eae3cb5-9242-40f9-837d-e3705d1388bf,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",2.0,c3a4307f-7791-4a44-9cf3-8b174e669de4,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
11b5d6ca-ef1c-407b-a96e-0aa3f3483c72,Discount (%),"#N/A","#N/A",7236d4c1-763b-4e69-9c81-c604c926b9c4,"#N/A","#N/A",Quote Line,"#N/A",45
1642e871-0525-4b13-834d-5f4a19158db4,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",2.0,dc18dc25-81f0-4dca-8f36-476af09887e2,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
17e1a543-2668-453f-aeb6-dc2970bcbedb,Unit Price,"#N/A","#N/A",c64db460-5b31-45c1-949e-9ad5ca08ba8a,"#N/A","#N/A",Product Option,"#N/A",123
18c8fbf6-8c5c-49cb-8d3a-ee7707cbf465,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",1.0,c3a4307f-7791-4a44-9cf3-8b174e669de4,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
1e9e824d-f4a4-4518-ae31-200066c114fc,Billing_Approval_Level__c,"IF((TEXT(SBQQ__BillingFrequency__c)  <>  TEXT(SBQQ__Product__r.SBQQ__BillingFrequency__c)) ||
(TEXT(SBQQ__BillingType__c) <> TEXT(SBQQ__Product__r.SBQQ__BillingType__c)), 1, 0)",1.0,4aefc026-514f-4f7b-87ee-0746c7e41b95,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
1ec4b27a-82f6-4d06-b871-46b09333feaa,SBQQ__TaxCode__c,"IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United States"", ""A234"", 
IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United Kingdom"", ""B567"", 
""A000""))","#N/A",2c0708db-2471-4881-9ac7-fee6703f1ffb,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
